id,type,chinese,romaji,classification,audioid,english
13083,主詞目,鹹鰱魚,kiâm-liân-hî/kiâm-liân-hû,"魚蝦海獸,食物、飲料、煙酒",13083(1),salted silver carp
13084,主詞目,嚾,uang,組織團體,13084(1),bang
13085,主詞目,攑,gia̍h,肢體動作,13085(1),Sick
13086,主詞目,攝,liap,,13086(1),photograph
13087,主詞目,櫼,tsinn,,13087(1),毼
13088,主詞目,欄,nuâ,建築物、結構,13088(1),column
13089,主詞目,灇,tsâng,一般動詞-行為動詞,13089(1),hot
13090,主詞目,灌,kuàn,,13090(1),Fill
13091,主詞目,爛,nuā,性質、程度,13091(1),rotten
13092,主詞目,癩𰣻,thái-ko,傷疾病痛,13092(1),瞞𰣻
13093,主詞目,癩𰣻鬼,thái-ko-kuí,,13093(1),Leprechaun
13094,主詞目,癩𰣻爛癆,thái-ko-nuā-lô,居住環境,13094(1),leprosy
13095,主詞目,攑手,gia̍h-tshiú,肢體動作,13095(1),grab hands
13096,主詞目,灌水,kuàn-tsuí,飲食行為,13096(1),irrigation
13097,主詞目,欄杆,lân-kan,建築物、結構,13097(1),railing
13098,主詞目,櫻花,ing-hue,花草樹木,13098(1),Cherry blossoms
13099,主詞目,攝屎,liap-sái,,13099(1),Photographing shit
13100,主詞目,犧牲,hi-sing,,13100(1),sacrifice
13101,主詞目,灌風,kuàn hong,一般動詞-行為動詞,13101(1),Guanfeng
13102,主詞目,囂俳,hiau-pai,個性風格,13102(1),Xiaohai
13103,主詞目,櫻桃,ing-thô,"蔬果作物,食物、飲料、煙酒",13103(1),cherry
13104,主詞目,爛塗,nuā-thôo,"地理,自然現象",13104(1),Bad paint
13105,主詞目,爛塗糜,nuā-thôo-muê/nuā-thôo-bê,"地理,自然現象",13105(1),messy
13106,主詞目,灌腸,kuàn-tshiâng,食物、飲料、煙酒,13106(1),enema
13107,主詞目,灌腸,kuàn tn̂g,醫療保健,13107(1),enema
13108,主詞目,攑箸,gia̍h tī/gia̍h tū,飲食行為,13108(1),chopsticks
13109,主詞目,爛糊糊,nuā-kôo-kôo,境況、狀態-擬物,13109(1),Soggy
13110,主詞目,攑頭,gia̍h-thâu,肢體動作,13110(1),Scratch your head
13111,主詞目,攑懸,gia̍h-kuân,一般動詞-行為動詞,13111(1),Suixuan
13112,主詞目,爛癬,nuā-sián,傷疾病痛,13112(1),ringworm
13113,主詞目,攝襇,liap-kíng,"體態樣貌,縫紉洗熨",13113(1),Take a picture
13114,主詞目,纏,tînn,,13114(1),entangled
13115,主詞目,蘭,lân,花草樹木,13115(1),orchid
13116,主詞目,蠟,la̍h,資源礦物,13116(1),wax
13117,主詞目,襪,bue̍h,衣帽鞋襪,13117(1),socks
13118,主詞目,襪仔,bue̍h-á,衣帽鞋襪,13118(1),Sock boy
13119,主詞目,纏身,tînn-sin,一般動詞-靜態動詞,13119(1),haunt
13120,主詞目,蘭花,lân-hue,花草樹木,13120(1),orchid
13121,主詞目,蠟紙,la̍h-tsuá,生活用品,13121(1),stencil
13122,主詞目,籐條,tîn-tiâu,"植物形體、狀態,生活用品",13122(1),rattan
13123,主詞目,蠟條,la̍h-tiâu,生活用品,13123(1),wax strip
13124,主詞目,蠟筆,la̍h-pit,生活用品,13124(1),crayon
13125,主詞目,纏跤絆手,tînn-kha-puànn-tshiú,一般動詞-行為動詞,13125(1),tripper
13126,主詞目,纏綴,tînn-tuè/tînn-tè,,13126(1),tangled
13127,主詞目,纏線,tînn suànn,一般動詞-行為動詞,13127(1),tangled thread
13128,主詞目,蠟燭,la̍h-tsik,生活用品,13128(1),Candle
13129,主詞目,辯,piān,,13129(1),debate
13130,主詞目,鐵,thih,"資源礦物,氣質態度",13130(1),iron
13131,主詞目,露,lōo,,13131(1),dew
13132,主詞目,霸,pà,,13132(1),tyrant
13133,主詞目,鐵人,thih-lâng,"科技、工業,才智能力",13133(1),ironman
13134,主詞目,護士,hōo-sū,,13134(1),Nurse
13135,主詞目,辯士,piān-sū,戲劇、音樂,13135(1),orator
13136,主詞目,鐵工,thih-kang,科技、工業,13136(1),ironwork
13137,主詞目,露水,lōo-tsuí,自然現象,13137(1),dew
13138,主詞目,霸王,pà-ông,,13138(1),Overlord
13139,主詞目,鐵牛仔,thih-gû-á,農林業,13139(1),Iron Cowboy
13140,主詞目,霸占,pà-tsiàm,,13140(1),occupy
13141,主詞目,鐵甲,thih-kah,軍事,13141(1),armor
13142,主詞目,護身符,hōo-sin-hû,相關器具、活動,13142(1),amulet
13143,主詞目,鐵枋,thih-pang,"生產工具,性質、程度",13143(1),Tie Fang
13144,主詞目,鐵枝,thih-ki,"資源礦物,生產工具,交通、運輸",13144(1),iron branch
13145,主詞目,鐵枝路,thih-ki-lōo,道路、橋梁,13145(1),Tiezhi Road
13146,主詞目,護法,hōo-huat,神職、神巫、信徒,13146(1),Dharma protector
13147,主詞目,鐵釘,thih-ting,"生活用品,生產工具",13147(1),nails
13148,主詞目,鐵馬,thih-bé,交通、運輸,13148(1),iron horse
13149,主詞目,鐵釘仔,thih-ting-á,"生活用品,生產工具",13149(1),Iron Man
13150,主詞目,鐵骨仔生,thih-kut-á-senn/thih-kut-á-sinn,體態樣貌,13150(1),Tieguzai
13151,主詞目,鐵桶,thih-tháng,生活用品,13151(1),drum
13152,主詞目,護理,hōo-lí,醫療保健,13152(1),care
13153,主詞目,譴責,khián-tsik,,13153(1),condemn
13154,主詞目,護照,hōo-tsiàu,旅運設施,13154(1),passport
13155,主詞目,辯解,piān-kái,,13155(1),excuse
13156,主詞目,鐵鉎,thih-sian,"自然現象,廢棄物",13156(1),iron
13157,主詞目,鐵槌,thih-thuî,生產工具,13157(1),hammer
13158,主詞目,辯論,piān-lūn,,13158(1),debate
13159,主詞目,鐵齒,thih-khí,個性風格,13159(1),iron teeth
13160,主詞目,鐵齒銅牙槽,thih-khí tâng-gê-tsô,個性風格,13160(1),iron teeth copper alveolus
13161,主詞目,護龍,hōo-lîng,建築物、結構,13161(1),Protective Dragon
13162,主詞目,露營,lōo-iânn,"休閒、娛樂,旅行",13162(1),camping
13163,主詞目,露螺,lōo-lê,其他動物,13163(1),Dew snail
13164,主詞目,鐵櫃,thih-kuī,生活用品,13164(1),iron cabinet
13165,主詞目,躊躇,tiû-tû,心理狀態,13165(1),hesitate
13166,主詞目,辯護,piān-hōo,法律,13166(1),defend
13167,主詞目,辯護士,piān-hōo-sū,"服務業及其他,法律",13167(1),advocate
13168,主詞目,響,hiáng,,13168(1),ring
13169,主詞目,顧,kòo,稱謂輩分,13169(1),Gu
13170,主詞目,鬖,sàm,體態樣貌,13170(1),tie
13171,主詞目,鶴,ho̍h,禽類,13171(1),crane
13172,主詞目,顧人怨,kòo-lâng-uàn,,13172(1),Taking care of people's complaints
13173,主詞目,顧三頓,kòo-sann-tǹg,生活狀況,13173(1),Gu Sandun
13174,主詞目,鬖毛鬼,sàm-mn̂g-kuí,體態樣貌,13174(1),The furry ghost
13175,主詞目,鰮仔魚,un-á-hî/un-á-hû,"魚蝦海獸,食物、飲料、煙酒",13175(1),Anchovy
13176,主詞目,顧門,kòo-mn̂g,房屋租賃、搬遷,13176(1),Gumen
13177,主詞目,響亮,hiáng-liāng,性質、程度,13177(1),loud
13178,主詞目,顧客,kòo-kheh,"泛稱,相關用語",13178(1),customer
13179,主詞目,顧厝,kòo-tshù,房屋租賃、搬遷,13179(1),Gu Cuo
13180,主詞目,顧家,kòo-ke,,13180(1),Gu family
13181,主詞目,魔神仔,môo-sîn-á,神明、鬼怪、教派,13181(1),Demon Boy
13182,主詞目,魔鬼,môo-kuí,神明、鬼怪、教派,13182(1),devil
13183,主詞目,顧問,kòo-būn,,13183(1),consultant
13184,主詞目,魔術,môo-su̍t,休閒、娛樂,13184(1),magic
13185,主詞目,響應,hiáng-ìng,,13185(1),response
13186,主詞目,齧,khè/khuè,一般動詞-行為動詞,13186(1),bite
13187,主詞目,麝香,siā-hiunn,"動物形體、行為,醫療保健,理容、化妝",13187(1),Musk
13188,主詞目,囉,lō,,13188(1),Hello
13189,主詞目,囉,--looh,助詞、嘆詞,13189(1),Hello
13190,主詞目,囊,long,生活用品,13190(1),bag
13191,主詞目,囊,lông,事、物泛稱,13191(1),bag
13192,主詞目,彎,uan,,13192(1),bend
13193,主詞目,攢,tshuân,,13193(1),save
13194,主詞目,攤,thuann,數詞、量詞,13194(1),stall
13195,主詞目,欉,tsâng,"植物形體、狀態,數詞、量詞",13195(1),扉
13196,主詞目,權,khuân,,13196(1),right
13197,主詞目,權力,khuân-li̍k,地位、身世、背景,13197(1),that power
13198,主詞目,彎曲,uan-khiau,,13198(1),bending
13199,主詞目,權利,khuân-lī,,13199(1),right
13200,主詞目,彎來斡去,uan-lâi-uat-khì,"個性風格,道路、橋梁",13200(1),bend around
13201,主詞目,歡迎,huan-gîng,,13201(1),welcome
13202,主詞目,權威,khuân-ui,,13202(1),authority
13203,主詞目,權限,khuân-hān,地位、身世、背景,13203(1),Permissions
13204,主詞目,歡送,huan-sàng,,13204(1),Farewell
13205,主詞目,攤販,thuann-huàn,商業,13205(1),street vendor
13206,主詞目,歡喜,huann-hí,,13206(1),joy
13207,主詞目,囉嗦,lo-so,個性風格,13207(1),Long-winded
13208,主詞目,歡頭喜面,huann-thâu-hí-bīn,反應、表情,13208(1),happy face
13209,主詞目,歡歡喜喜,huann-huann-hí-hí,心理狀態,13209(1),rejoice
13210,主詞目,彎彎斡斡,uan-uan-uat-uat,"個性風格,道路、橋梁",13210(1),Wanwanyi
13211,主詞目,灘,thuann,自然現象,13211(1),beach
13212,主詞目,瓤,nn̂g,"動物形體、行為,植物形體、狀態",13212(1),flesh
13213,主詞目,疊,tha̍h,數詞、量詞,13213(1),stack
13214,主詞目,疊,thia̍p,,13214(1),stack
13215,主詞目,癬,sián,傷疾病痛,13215(1),ringworm
13216,主詞目,癮,giàn,,13216(1),addiction
13217,主詞目,籗,khah,漁牧業,13217(1),pity
13218,主詞目,籠,lam,生活用品,13218(1),cage
13219,主詞目,籠,lang,事、物泛稱,13219(1),cage
13220,主詞目,籠,láng,事、物泛稱,13220(1),cage
13221,主詞目,籠,lâng,生活用品,13221(1),cage
13222,主詞目,籠,lāng,,13222(1),cage
13223,主詞目,籠,lông,生活用品,13223(1),cage
13224,主詞目,糴,tia̍h,商業,13224(1),buy
13225,主詞目,聽,thiann,感官動作,13225(1),listen
13226,主詞目,聽,thìng,,13226(1),listen
13227,主詞目,讀,tha̍k,,13227(1),read
13228,主詞目,讀,tho̍k,,13228(1),read
13229,主詞目,籗仔,khah-á,"漁牧業,生產工具",13229(1),Piggy boy
13230,主詞目,籠仔,láng-á,生活用品,13230(1),Cage
13231,主詞目,讀冊,tha̍k-tsheh,教育、學術,13231(1),Reading
13232,主詞目,讀冊人,tha̍k-tsheh-lâng,"泛稱,教育、學術",13232(1),readers
13233,主詞目,癮仙哥,giàn-sian-ko,"生活狀況,食物、飲料、煙酒",13233(1),Brother Addict
13234,主詞目,讀死冊,tha̍k-sí-tsheh,教育、學術,13234(1),Study by heart
13235,主詞目,糴米,tia̍h-bí,"服務業及其他,財務單位、活動",13235(1),Buy rice
13236,主詞目,籠床,lâng-sn̂g,飲食物具,13236(1),cage bed
13237,主詞目,讀者,tho̍k-tsiá,泛稱,13237(1),reader
13238,主詞目,聽香,thiann-hiunn,相關器具、活動,13238(1),Listen to the incense
13239,主詞目,聽候,thìng-hāu,一般動詞-行為動詞,13239(1),pending
13240,主詞目,聽喙,thiann-tshuì,氣質態度,13240(1),Listen to the beak
13241,主詞目,聽著,thiann-tio̍h,反應、表情,13241(1),listen
13242,主詞目,癮頭,giàn-thâu,,13242(1),addiction
13243,主詞目,聽講,thiann-kóng,一般動詞-靜態動詞,13243(1),listen
13244,主詞目,贖,sio̍k,財務單位、活動,13244(1),redemption
13245,主詞目,鑄,tsù,,13245(1),cast
13246,主詞目,顫,tsùn,反應、表情,13246(1),trembling
13247,主詞目,鬚,tshiu,事、物泛稱,13247(1),Must
13248,主詞目,贖身,sio̍k-sin,財務單位、活動,13248(1),ransom
13249,主詞目,鑑定,kàm-tīng,一般動詞-行為動詞,13249(1),identification
13250,主詞目,驕傲,kiau-ngōo,,13250(1),pride
13251,主詞目,鰱,liân,"魚蝦海獸,食物、飲料、煙酒",13251(1),silver carp
13252,主詞目,鰻,muâ,"魚蝦海獸,食物、飲料、煙酒",13252(1),eel
13253,主詞目,鰾,piō,動物形體、行為,13253(1),swim bladder
13254,主詞目,鱉,pih,爬蟲、兩棲類,13254(1),turtle
13255,主詞目,齪,tsak,,13255(1),dirty
13256,主詞目,鰱魚,liân-hî/liân-hû,"魚蝦海獸,食物、飲料、煙酒",13256(1),silver carp
13257,主詞目,鱈魚,suat-hî/suat-hû,"魚蝦海獸,食物、飲料、煙酒",13257(1),cod
13258,主詞目,齪嘈,tsak-tsō,,13258(1),Noisy
13259,主詞目,鷓鴣菜,tsià-koo-tshài,"蔬果作物,食物、飲料、煙酒",13259(1),partridge dish
13260,主詞目,攪,kiáu,,13260(1),stir
13261,主詞目,癰,ing,傷疾病痛,13261(1),carbuncle
13262,主詞目,籤,tshiam,,13262(1),sign
13263,主詞目,癰仔,ing-á,傷疾病痛,13263(1),Carbuncle
13264,主詞目,攪吵,kiáu-tshá,,13264(1),make noise
13265,主詞目,攪絞,kiáu-ká,傷疾病痛,13265(1),stir
13266,主詞目,籤筒,tshiam-tâng,相關器具、活動,13266(1),sign tube
13267,主詞目,戀愛,luân-ài,性別、婚姻,13267(1),in love
13268,主詞目,籤詩,tshiam-si,相關器具、活動,13268(1),Sign poems
13269,主詞目,攪擾,kiáu-jiáu/kiáu-liáu,,13269(1),disturb
13270,主詞目,纓纏,inn-tînn,,13270(1),tassel
13271,主詞目,變,piàn,,13271(1),Change
13272,主詞目,變,pìnn,,13272(1),Change
13273,主詞目,躘,liòng,肢體動作,13273(1),walk
13274,主詞目,鑢,lù,一般動詞-行為動詞,13274(1),polishing tool
13275,主詞目,顯,hián,,13275(1),show
13276,主詞目,顯,hiánn,,13276(1),show
13277,主詞目,驗,giām,,13277(1),test
13278,主詞目,驚,kiann,,13278(1),shock
13279,主詞目,驛,ia̍h,"旅運設施,建築物、結構",13279(1),Yi
13280,主詞目,髓,tshué/tshé,"生理構造,食物、飲料、煙酒",13280(1),marrow
13281,主詞目,體,thé,,13281(1),body
13282,主詞目,驚人,kiann--lâng,,13282(1),amazing
13283,主詞目,驚人,kiann-lâng,,13283(1),amazing
13284,主詞目,體力,thé-la̍t,才智能力,13284(1),physical strength
13285,主詞目,變化,piàn-huà,,13285(1),change
13286,主詞目,變心,piàn-sim,性別、婚姻,13286(1),Change of heart
13287,主詞目,鑢仔,lù-á,生活用品,13287(1),Rongzi
13288,主詞目,顯目,hiánn-ba̍k,形貌、體積,13288(1),conspicuous
13289,主詞目,驚生份,kiann-senn-hūn/kiann-sinn-hūn,"反應、表情,心理狀態,交際應酬",13289(1),Shocked
13290,主詞目,驚死,kiann--sí,反應、表情,13290(1),Shocked to death
13291,主詞目,驚死,kiann-sí,,13291(1),Shocked to death
13292,主詞目,驚死人,kiann-sí-lâng,反應、表情,13292(1),Shocking
13293,主詞目,變色,piàn-sik,顏色、氣味,13293(1),Discoloration
13294,主詞目,驗血,giām-hueh/giām-huih,醫療保健,13294(1),blood test
13295,主詞目,變更,piàn-king,,13295(1),change
13296,主詞目,變步,piàn-pōo,事、物泛稱,13296(1),Change of pace
13297,主詞目,體育,thé-io̍k,"教育、學術,體育、運動",13297(1),physical education
13298,主詞目,驚見笑,kiann-kiàn-siàu,"反應、表情,個性風格,心理狀態",13298(1),Laughing with surprise
13299,主詞目,變卦,piàn-kuà,,13299(1),Change of mind
13300,主詞目,變空,pìnn-khang,,13300(1),become empty
13301,主詞目,驗屍,giām-si,"醫療保健,法律",13301(1),autopsy
13302,主詞目,驚某,kiann bóo,性別、婚姻,13302(1),Shocked
13303,主詞目,變面,pìnn-bīn,"反應、表情,待人處事",13303(1),Change face
13304,主詞目,體面,thé-bīn,,13304(1),decent
13305,主詞目,體格,thé-keh,生理構造,13305(1),physique
13306,主詞目,變鬼,pìnn-kuí,,13306(1),Become a ghost
13307,主詞目,變鬼變怪,pìnn-kuí-pìnn-kuài,,13307(1),Become a ghost
13308,主詞目,體統,thé-thóng,事、物泛稱,13308(1),decent
13309,主詞目,躘被,liòng phuē/liòng phē,,13309(1),quilt
13310,主詞目,變通,piàn-thong,,13310(1),Work around
13311,主詞目,驚惶,kiann-hiânn,"反應、表情,心理狀態",13311(1),panic
13312,主詞目,變款,piàn-khuán,一般動詞-靜態動詞,13312(1),Variation
13313,主詞目,變猴弄,pìnn-kâu-lāng,休閒、娛樂,13313(1),Become a monkey
13314,主詞目,體貼,thé-thiap,氣質態度,13314(1),considerate
13315,主詞目,驗傷,giām siong,醫療保健,13315(1),Examine injuries
13316,主詞目,體會,thé-huē,心理活動,13316(1),experience
13317,主詞目,顯聖,hián-sìng,相關器具、活動,13317(1),Manifestation
13318,主詞目,體諒,thé-liōng,心理活動,13318(1),considerate
13319,主詞目,體操,thé-tshau,體育、運動,13319(1),gymnastics
13320,主詞目,顯頭,hiánn-thâu,形貌、體積,13320(1),Show your head
13321,主詞目,變竅,piàn-khiàu,"才智能力,待人處事",13321(1),change
13322,主詞目,體驗,thé-giām,心理活動,13322(1),experience
13323,主詞目,鱖,kuè/kè,"魚蝦海獸,食物、飲料、煙酒",13323(1),Mandarin fish
13324,主詞目,鱗,lân,動物形體、行為,13324(1),scale
13325,主詞目,鱙仔魚,jiâu-á-hî/liâu-á-hû,"魚蝦海獸,食物、飲料、煙酒",13325(1),Squid
13326,主詞目,鱔魚,siān-hî/siān-hû,"魚蝦海獸,食物、飲料、煙酒",13326(1),eel
13327,主詞目,鱖魚,kuè-hî/kè-hû,"魚蝦海獸,食物、飲料、煙酒",13327(1),mandarin fish
13328,主詞目,攬,lám,數詞、量詞,13328(1),embrace
13329,主詞目,罐,kuàn,"生活用品,數詞、量詞",13329(1),Can
13330,主詞目,讓,niū,,13330(1),let
13331,主詞目,讖,tshàm,語言、文字、符號,13331(1),prophecy
13332,主詞目,靈,lîng,,13332(1),spirit
13333,主詞目,靈丹,lîng-tan,醫療保健,13333(1),Panacea
13334,主詞目,讓手,niū-tshiú,,13334(1),give hand
13335,主詞目,罐仔,kuàn-á,生活用品,13335(1),Can Zai
13336,主詞目,箅仔骨,pín-á-kut,生理構造,13336(1),Grate bones
13337,主詞目,讓位,niū-uī,"相關用語,待人處事",13337(1),give way
13338,主詞目,靈位,lîng-uī,"宗族、家庭,神明、鬼怪、教派",13338(1),spiritual position
13339,主詞目,讓步,niū-pōo,,13339(1),concession
13340,主詞目,蠶豆,tshân-tāu,"蔬果作物,醫療保健,食物、飲料、煙酒",13340(1),broad bean
13341,主詞目,靈芝,lîng-tsi,"醫療保健,食物、飲料、煙酒",13341(1),Ganoderma lucidum
13342,主詞目,靈厝,lîng-tshù,婚喪喜慶,13342(1),Lingcuo
13343,主詞目,靈通,lîng-thong,才智能力,13343(1),Well-informed
13344,主詞目,讓渡,jiōng-tōo/liōng-tōo,財務單位、活動,13344(1),transfer
13345,主詞目,靈感,lîng-kám,,13345(1),inspiration
13346,主詞目,靈聖,lîng-siànn,相關器具、活動,13346(1),Holy Spirit
13347,主詞目,靈魂,lîng-hûn,"生養老死,神明、鬼怪、教派",13347(1),soul
13348,主詞目,罐頭,kuàn-thâu,食物、飲料、煙酒,13348(1),can
13349,主詞目,韆鞦,tshian-tshiu,"體育、運動,休閒、娛樂",13349(1),Qianqiu
13350,主詞目,靈驗,lîng-giām,相關器具、活動,13350(1),Effective
13351,主詞目,鱟,hāu,魚蝦海獸,13351(1),horseshoe crab
13352,主詞目,鷹,ing,禽類,13352(1),eagle
13353,主詞目,鹼,kinn,資源礦物,13353(1),base
13354,主詞目,鹽,iâm,食物、飲料、煙酒,13354(1),Salt
13355,主詞目,齆,àng,,13355(1),齆
13356,主詞目,齴,giàng,形貌、體積,13356(1),齴
13357,主詞目,鱟𣁳仔,hāu-khat-á,"生活用品,飲食物具",13357(1),Horsetail
13358,主詞目,齴牙,giàng-gê,"生理構造,氣質態度",13358(1),Li Ya
13359,主詞目,鹼仔粿,kinn-á-kué/kinn-á-ké,食物、飲料、煙酒,13359(1),Jianzi Kueh
13360,主詞目,鬢角,pìn-kak,生理構造,13360(1),temple
13361,主詞目,鹽花仔,iâm-hue-á,食物、飲料、煙酒,13361(1),Yan Hua Zai
13362,主詞目,鹽埕,iâm-tiânn,地理,13362(1),Yancheng
13363,主詞目,鱟桸,hāu-hia,生活用品,13363(1),Horseshoe crab
13364,主詞目,鬢跤,pìn-kha,生理構造,13364(1),Sideburns
13365,主詞目,鹼粽,kinn-tsàng,食物、飲料、煙酒,13365(1),Alkaline rice dumplings
13366,主詞目,鹽酸,iâm-sng,生活用品,13366(1),hydrochloric acid
13367,主詞目,齆鼻,àng-phīnn,傷疾病痛,13367(1),Taanbi
13368,主詞目,齆鼻聲,àng-phīnn-siann,傷疾病痛,13368(1),snort
13369,主詞目,齆聲,àng-siann,傷疾病痛,13369(1),rumble
13370,主詞目,鹽甕仔,iâm-àng-á,"生活用品,飲食物具",13370(1),Yanwengzai
13371,主詞目,鬢繐,pìn-sui,生理構造,13371(1),temples
13372,主詞目,鬢邊,pìn-pinn,生理構造,13372(1),sideburns
13373,主詞目,齷齪,ak-tsak,心理狀態,13373(1),Dirty
13374,主詞目,廳,thiann,"建築物、結構,相關器具、活動",13374(1),hall
13375,主詞目,灣,uan,地理,13375(1),bay
13376,主詞目,糶,thiò,商業,13376(1),粜
13377,主詞目,糶米,thiò-bí,"農林業,商業",13377(1),Rice
13378,主詞目,籬笆,lî-pa,建築物、結構,13378(1),fence
13379,主詞目,廳堂,thiann-tn̂g,建築物、結構,13379(1),hall
13380,主詞目,廳頭,thiann-thâu,建築物、結構,13380(1),Hall head
13381,主詞目,襻,phàn,衣帽鞋襪,13381(1),loop
13382,主詞目,跕,liam,肢體動作,13382(1),stand on tiptoe
13383,主詞目,躡,neh/nih,肢體動作,13383(1),chase
13384,主詞目,鑱,tshîm,戲劇、音樂,13384(1),镵
13385,主詞目,饞,sâi,飲食行為,13385(1),greedy
13386,主詞目,鑱仔,tshîm-á,戲劇、音樂,13386(1),Bozi
13387,主詞目,蠻皮,bân-phuê/bân-phê,個性風格,13387(1),Pretty
13388,主詞目,蠻皮癬,bân-phuê-sián/bân-phê-sián,傷疾病痛,13388(1),ringworm
13389,主詞目,觀光,kuan-kong,旅行,13389(1),go sightseeing
13390,主詞目,觀念,kuan-liām,心理狀態,13390(1),concept
13391,主詞目,觀前顧後,kuan-tsîng-kòo-āu,氣質態度,13391(1),Look before and after
13392,主詞目,觀音,Kuan-im,神明、鬼怪、教派,13392(1),Guanyin
13393,主詞目,饞食,sâi-tsia̍h,飲食行為,13393(1),Greedy
13394,主詞目,觀音竹,kuan-im-tik,花草樹木,13394(1),Guanyin Bamboo
13395,主詞目,躡跤尾,neh-kha-bué/nih-kha-bé,肢體動作,13395(1),Tiptoe
13396,主詞目,觀察,kuan-tshat,一般動詞-行為動詞,13396(1),observe
13397,主詞目,讚,tsán,,13397(1),praise
13398,主詞目,驢,lî/lû,獸類,13398(1),donkey
13399,主詞目,鬮,khau,休閒、娛樂,13399(1),lot
13400,主詞目,驢仔,lî-á/lû-á,獸類,13400(1),donkey boy
13401,主詞目,鑼,lô,戲劇、音樂,13401(1),gong
13402,主詞目,鑽,tsǹg,,13402(1),Drill
13403,主詞目,鱸,lôo,魚蝦海獸,13403(1),bass
13404,主詞目,鑽仔,tsǹg-á,"生活用品,生產工具",13404(1),Diamond
13405,主詞目,鑽耳,tsǹg hīnn/tsǹg hī,理容、化妝,13405(1),Drill ears
13406,主詞目,鑽空,tsǹg-khang,生活勞動,13406(1),Exploit
13407,主詞目,鱷魚,kho̍k-hî/kho̍k-hû,爬蟲、兩棲類,13407(1),Crocodile
13408,主詞目,鱸魚,lôo-hî/lôo-hû,魚蝦海獸,13408(1),sea ​​bass
13409,主詞目,鑼鼓,lô-kóo,戲劇、音樂,13409(1),gongs and drums
13410,主詞目,鸕鶿,lôo-tsî,禽類,13410(1),cormorant
13411,主詞目,鱸鰻,lôo-muâ,"魚蝦海獸,地位、身世、背景,食物、飲料、煙酒",13411(1),perch eel
13412,主詞目,戇,gōng,才智能力,13412(1),stupid
13413,主詞目,鑿,tsha̍k,,13413(1),chisel
13414,主詞目,戇人,gōng-lâng,,13414(1),cruel
13415,主詞目,戇大呆,gōng-tuā-tai,,13415(1),Stupid
13416,主詞目,鑿仔,tsha̍k-á,"生活用品,生產工具",13416(1),Chisel
13417,主詞目,鑿目,tsha̍k-ba̍k,"境況、狀態-擬人,境況、狀態-擬物",13417(1),Gouge
13418,主詞目,戇呆,gōng-tai,,13418(1),dull
13419,主詞目,戇的,gōng--ê,才智能力,13419(1),Cruel
13420,主詞目,戇直,gōng-ti̍t,個性風格,13420(1),straightforward
13421,主詞目,鸚哥,ing-ko,禽類,13421(1),parrot
13422,主詞目,鸚哥鼻,ing-ko-phīnn,體態樣貌,13422(1),parrot nose
13423,主詞目,戇神,gōng-sîn,反應、表情,13423(1),Crazy
13424,主詞目,戇猴,gōng-kâu,才智能力,13424(1),Monkey
13425,主詞目,戇想,gōng-siūnn,心理活動,13425(1),Daydream
13426,主詞目,戇話,gōng-uē,,13426(1),Cruel words
13427,主詞目,戇錢,gōng-tsînn,財務單位、活動,13427(1),Stupid money
13428,主詞目,戇頭戇面,gōng-thâu-gōng-bīn,,13428(1),Beat the head and face
13429,主詞目,戇膽,gōng-tánn,,13429(1),timid
13430,主詞目,戇戇,gōng-gōng,,13430(1),Embarrassing
13431,主詞目,鑿鑿,tsha̍k-tsha̍k,傷疾病痛,13431(1),chisel
13432,主詞目,鬱,ut,,13432(1),gloomy
13433,主詞目,鬱卒,ut-tsut,心理狀態,13433(1),Depressed
13434,主詞目,鬱傷,ut-siong,傷疾病痛,13434(1),depressed
13435,主詞目,鬱歲,ut-huè/ut-hè,生養老死,13435(1),Yu Sui
13436,主詞目,廍,phōo,建築物、結構,13436(1),卍
13437,主詞目,揻,ui,一般動詞-活動動詞,13437(1),揻
13438,主詞目,砛,gîm,建築物、結構,13438(1),砛
13439,主詞目,砛仔,gîm-á,建築物、結構,13439(1),Bianzi
13440,主詞目,砛簷,gîm-tsînn,建築物、結構,13440(1),eaves
13441,主詞目,硓𥑮石,lóo-kóo-tsio̍h,資源礦物,13441(1),stone
13442,主詞目,粩,láu,食物、飲料、煙酒,13442(1),粩
13443,主詞目,襇,kíng,數詞、量詞,13443(1),Pleats
13444,主詞目,贌,pa̍k,商業,13444(1),茌
13445,主詞目,贌田,pa̍k-tshân,農林業,13445(1),Shitian
13446,主詞目,蹽,liâu,,13446(1),载
13447,主詞目,蹽溪仔,liâu khe-á/liâu khue-á,肢體動作,13447(1),Jianxizi
13448,主詞目,蹽落去,liâu--lo̍h-khì,生活狀況,13448(1),fall off
13449,主詞目,躼,lò,體態樣貌,13449(1),躼
13450,主詞目,躼跤,lò-kha,體態樣貌,13450(1),躼 fall
13451,主詞目,躼跤仔,lò-kha-á,"禽類,體態樣貌",13451(1),Jiao Qiao Zai
13452,主詞目,㧎,khê,,13452(1),㧎
13453,主詞目,㧣,tu,,13453(1),㧣
13454,主詞目,㨂,tàng,肢體動作,13454(1),㨂
13455,主詞目,㨨,liû,,13455(1),㨨
13456,主詞目,𠯗,tsi̍p,感官動作,13456(1),𠯗
13457,主詞目,𠯗一下,tsi̍p--tsi̍t-ē,飲食行為,13457(1),𠯗A moment
13458,主詞目,㤉,gê,,13458(1),㤉
13459,主詞目,㤉潲,gê-siâu,,13459(1),㤉潲
