defid,wordid,partofspeech,def_chinese,def_english
13608,9898,名詞,霍亂。病名。一種霍亂弧菌引起的急性傳染病，會有嚴重的腹瀉、嘔吐、脫水及尿毒症等症狀，嚴重者可能會休克致命。,"cholera. Disease name. An acute infectious disease caused by Vibrio cholerae, which can cause symptoms such as severe diarrhea, vomiting, dehydration and uremia. In severe cases, shock may be fatal."
13609,9899,名詞,鋼筆。金屬筆尖，內有吸存墨水管的筆。源自日語「万年筆（まんねんひつ）」。,"pen. A pen with a metal nib and an ink cartridge inside. Derived from the Japanese ""ten thousand years pen (まんねんひつ)""."
13610,9900,名詞,古代帝王所頒布的命令。,Orders issued by ancient emperors.
13611,9901,動詞,竣工、完工。指建築物完工。,"Completion, completion. Refers to the completion of a building."
13612,9902,動詞,掉色、脫色。,"Fading, discoloration."
13613,9903,時間詞,後來、最後。,"Later, finally."
13614,9904,副詞,後來、最後。,"Later, finally."
13615,9905,名詞,廚具的一種。杓子上有孔洞，可用來濾除水、油，只留下所要的東西。,"A type of kitchen utensil. There are holes in the ladle, which can be used to filter out water and oil, leaving only what you want."
13616,9906,名詞,指心思。,Refers to the mind.
13617,9906,名詞,腹部內的部分內臟，即腸與胃。,"Part of the internal organs in the abdomen, namely the intestines and stomach."
13618,9907,名詞,肚子。,abdomen.
13619,9908,名詞,指下腹部。,Refers to the lower abdomen.
13620,9909,熟語,肚子餓。,Hungry.
13621,9910,動詞,下車。,get off.
13622,9911,名詞,任何事情。,anything.
13623,9912,動詞,下來。從上面到下面，發話者不在上面，語氣完結時唸作lo̍h--lâi。,"Come down. From top to bottom, if the speaker is not on top, the final tone is pronounced as lo̍h--lâi."
13624,9912,副詞,在什麼以下，其次。,"Under what, secondly."
13625,9913,形容詞,非常幸運。,Very lucky.
13626,9914,嘆詞,無巧不巧。巧極了、或不巧極了。,"No coincidence. What a coincidence, or what a coincidence."
13627,9915,名詞,宇宙間的一切物質。,All matter in the universe.
13628,9916,動詞,下注。出錢賭輸贏。,Place your bet. Pay money to win or lose.
13629,9917,熟語,白走一趟。,A trip in vain.
13630,9917,熟語,由空車去一趟行程。,A trip by empty car.
13631,9918,動詞,施肥。幫植物灑肥料。,Fertilize. Spread fertilizer on the plants.
13632,9919,名詞,男子娶妻時贈給女方的禮金。,A gift given to a woman by a man when he marries his wife.
13633,9920,動詞,下雨。,rain.
13634,9921,名詞,雨天。,rain.
13635,9922,動詞,南下。到南方、向南方行進。,"Go south. Go south, head south."
13636,9923,動詞,拉肚子、腹瀉。,"Diarrhea, diarrhea."
13637,9924,名詞,流星、賊星。星名。夜晚快速飛越天空的輝亮星體。原為太空中漂浮的塵埃、碎片，進入地球大氣層後，與空氣摩擦燃燒發光，而形成如箭的光跡。,"Meteor, thief star. Star name. A bright star that flies rapidly across the sky at night. It was originally dust and debris floating in space. After entering the earth's atmosphere, it burned and glowed by friction with the air, forming an arrow-like light trail."
13638,9925,名詞,罵人飯桶。原來是指拉肚子的馬，引申作沒有用的人。,"Call someone a loser. Originally it refers to a horse with diarrhea, and by extension a useless person."
13639,9925,形容詞,沒有用。,It's no use.
13640,9926,時間詞,大後天。,The day after tomorrow.
13641,9927,時間詞,大後年。後年之後的第一年。,The next year. The first year after the year after.
13642,9928,時間詞,大前天。前天的前一日。,The day before yesterday. The day before the day before yesterday.
13643,9929,動詞,流產。,abortion.
13644,9930,動詞,說話因牙齒咬合不正，使得發音不清晰。,Speech is unclear due to malocclusion of teeth.
13645,9930,動詞,把氣洩出。,Let it out.
13646,9931,名詞,聘用人擔任某職的契約文書。,A contract document that employs a person for a certain position.
13647,9932,形容詞,出糗、出洋相。形容行為失當，表現不盡理想，令人灰心喪志。,"Make a fool of yourself and make a fool of yourself. Describes inappropriate behavior, unsatisfactory performance, and discouragement."
13648,9933,動詞,熟睡、沉睡。,"Asleep, deep sleep."
13649,9934,形容詞,無所不能。,omnipotent.
13650,9934,形容詞,多種用途的。,Multipurpose.
13651,9935,名詞,各種事情。,All kinds of things.
13652,9936,名詞,腰骨。脊椎骨的下部五骨節，支撐筋肉，下端和尾骨連。,"waist bone. The lower five joints of the spine support the muscles, and the lower end is connected to the tailbone."
13653,9937,形容詞,走背運、走霉運。,"Bad luck, bad luck."
13654,9938,名詞,腰骨的下部五節骨，支撐筋肉，內繫兩臂，下與尾椎骨相連。,"The lower part of the waist has five bones, supports the muscles, ties the two arms internally, and is connected to the tail vertebra below."
13655,9939,名詞,束在腰間的帶子。,A belt around the waist.
13656,9940,動詞,下坡。,downhill.
13657,9941,名詞,一種女人使用的桶子，平時用來洗女人的下身，生產時用來坐盆，洗產婦的內褲。,A bucket used by women. It is usually used to wash a woman's lower body. It is also used to sit in the basin and wash the mother's underwear during childbirth.
13658,9942,動詞,留級。學生的學業成績未達升級標準，而留在原來的年級重讀。,Repeat a grade. The student's academic performance does not meet the promotion standards and he or she remains in the original grade and repeats the class.
13659,9942,動詞,名落孫山。考試失敗，沒被錄取。,His name fell from Sun Mountain. Failed the exam and was not admitted.
13660,9943,動詞,下船。指離開船上岸。,Get off the boat. Refers to leaving the ship and going ashore.
13661,9943,動詞,上船。指離開岸上，上船去。,Get on board. Refers to leaving the shore and getting on the boat.
13662,9944,動詞,軟化、緩和。強硬或倔強的態度變緩和。,"Soften, soften. A tough or stubborn attitude softens."
13663,9945,名詞,因腦部血流不足所引起的症狀。,Symptoms caused by insufficient blood flow to the brain.
13664,9946,動詞,下雪。,snow.
13665,9947,動詞,吞下去。,Swallow it.
13666,9948,動詞,陷入泥淖、掉到爛泥巴中。,"Get stuck in the mud, fall into the mud."
13667,9948,動詞,落入困境。,Fall into trouble.
13668,9949,熟語,指事情非常周全，絕不會出差錯。,It means that things are very thorough and will never go wrong.
13669,9950,名詞,頭腦。指一個人的思想、思考能力和記憶力等。,"mind. Refers to a person's thoughts, thinking ability and memory, etc."
13670,9950,名詞,腦神經。,cranial nerves.
13671,9951,動詞,逃跑、開溜、落荒而逃。借用華語「跑」字音讀。,"To run away, to run away, to run away. Borrow the pronunciation of the Chinese character ""running""."
13672,9952,形容詞,各項。,various items.
13673,9953,動詞,落地。掉在地上。,Landed. fell to the ground.
13674,9953,動詞,出生、呱呱落地。,"Birth, birth."
13675,9953,動詞,著地。腳踩在地上。,Landing. Feet on the ground.
13676,9954,名詞,聖賢所著的經典。,Classics written by sages.
13677,9954,名詞,基督教的經典。分舊約和新約兩種，各國譯本達千餘種之多。,"Christian classics. It is divided into two types, the Old Testament and the New Testament, with more than a thousand translations in various countries."
13678,9955,數詞,一億。,One hundred million.
13679,9955,副詞,絕對、一定。,"Absolutely, definitely."
13680,9956,副詞,鬆鬆地，快掉了的樣子。,"Loosely, almost falling off."
13681,9957,動詞,安葬。,Buried.
13682,9958,名詞,腳氣病。病名。因缺乏維生素B所引起的多發性神經炎。症狀有疲勞軟弱、小腿沉重、肌肉疼痛萎縮、手足痙攣、頭痛失眠、下肢水腫、心力衰竭等等。以白米為主食的亞洲地區最為常見。,"Beriberi. Disease name. Polyneuritis caused by vitamin B deficiency. Symptoms include fatigue and weakness, heaviness in the calves, muscle pain and atrophy, spasms in the hands and feet, headaches and insomnia, edema of the lower limbs, heart failure, etc. It is most common in Asia where white rice is the staple food."
13683,9959,動詞,降價、減價。,"Price reduction, price reduction."
13684,9960,名詞,指戲臺上演戲的角色，也表示某種身分地位的角色。,It refers to the role played on the stage and also represents a role of a certain status.
13685,9960,名詞,引申為指人的膽識。,Extended to refer to people's courage.
13686,9961,名詞,流行性腦脊髓膜炎的通稱。由腦膜炎球菌引起腦膜發炎的疾病，主要經由咳嗽、噴嚏等傳播。病徵為發高燒、劇烈頭痛等，會引致腦部受損而死亡。,"Common name for meningococcal meningitis. Meningococcal inflammation of the meninges is caused by meningococci and is mainly spread through coughing and sneezing. Symptoms include high fever, severe headache, etc., which can lead to brain damage and death."
13687,9962,動詞,禮聘、延聘，誠懇的邀請。,"Recruitment, invitation, sincere invitation."
13688,9963,形容詞,失意潦倒的樣子。,Frustrated look.
13689,9964,動詞,褲子沒穿好，掉了下來。,The pants were not worn properly and fell down.
13690,9965,動詞,沒被選上、選舉失利。,"Not elected, failed in the election."
13691,9966,動詞,胡說、瞎掰、胡扯。,"Nonsense, nonsense, nonsense."
13692,9966,嘆詞,糟糕、慘了。對不好的情況發出感嘆。,It's terrible. It's terrible. Lament about bad situations.
13693,9967,形容詞,指菜色豐盛。,Refers to rich dishes.
13694,9968,形容詞,丟臉、沒面子。,"Embarrassing, losing face."
13695,9969,名詞,落翅仔、蹺家少女。落翅，即飛鳥因翅膀受傷墜落下來的意思。落翅仔常引申為逃家、蹺課，或以非法性交易謀生的學齡少女。,"The fallen-winged boy and the girl from the wandering family. Falling wings means that a bird falls down due to injured wings. Luojizai is often referred to as a school-age girl who runs away from home, skips classes, or makes a living through illegal sex trade."
13696,9970,動詞,下霜。,Frost.
13697,9971,名詞,定親時男方送給女方的禮物。,A gift given by a man to a woman at the time of engagement.
13698,9972,動詞,遭遇災禍，以致於陷入困境。,Encountered disaster and fell into trouble.
13699,9973,名詞,大腦、中腦、小腦、延腦的總稱。,"The general term for the cerebrum, midbrain, cerebellum, and brain oblongata."
13700,9974,名詞,植物的一部分。生於枝幹上，專營呼吸、蒸發等作用。,"part of the plant. It grows on branches and specializes in respiration, evaporation and other functions."
13701,9974,量詞,葉、片。,blade.
13702,9975,量詞,盞。計算燈火的單位。,Light. Calculate the unit of light.
13703,9975,量詞,計算成串物品的單位。,Calculates the units of a string of items.
13704,9976,名詞,屍體掩埋、處理的方式。,The way the body was buried and disposed of.
13705,9977,名詞,花果與枝連接之處。,"The place where flowers, fruits and branches connect."
13706,9977,名詞,某些像蒂的東西。,Something like a pedicle.
13707,9978,動詞,取名字。,Take a name.
13708,9978,名詞,號碼。,Number.
13709,9978,名詞,記號、印記。,"Mark, imprint."
13710,9978,名詞,名字。,name.
13711,9979,名詞,葉子。,leaf.
13712,9980,動詞,取名、命名。,"Name, name."
13713,9981,名詞,公司或團體中，股東選出來主持業務的代表人。,"In a company or group, a representative elected by shareholders to conduct business."
13714,9982,名詞,蒲扇、芭蕉扇。用蒲葵做成的扇子，又稱為「芭蕉扇」(pa-tsiau-sìnn)；也用來泛指一般的扇子。,"Cattail fan, banana fan. Fans made of palmetto are also called ""pa-tsiau-sìnn"" (pa-tsiau-sìnn); they are also used to refer to general fans."
13715,9983,動詞,叫做、稱為。,"called, called."
13716,9984,名詞,用竹篾和竹葉做成的斗笠。,A bamboo hat made of bamboo strips and leaves.
13717,9985,名詞,水果名。呈球形或者橢圓形，為紫色或淡綠色，果肉半透明，酸甜多汁，可以生食、乾製和釀酒。,"Fruit name. It is spherical or oval, purple or light green, with translucent flesh, sweet and sour, and juicy. It can be eaten raw, dried and made into wine."
13718,9986,名詞,以葡萄釀製的酒類。,Liquor made from grapes.
13719,9987,名詞,表示事物次第的數目字。,Numbers representing the order of things.
13720,9988,名詞,壺蘆、瓠瓜。瓜果類。可以食用，曬乾後能做成裝酒或裝水的容器。,"Pot reed, gourd. Melons and fruits. It is edible and can be made into a container for wine or water after drying."
13721,9989,名詞,昆蟲名。頭部有兩個大複眼和三個單眼，視力強，有一對觸角。種類多，經常群聚生活，居於蜂巢中，有毒刺，會螫人。,"Insect name. The head has two large compound eyes and three single eyes, with strong vision and a pair of antennae. There are many species, they often live in groups and live in beehives. They have venomous stingers and can sting people."
13722,9991,名詞,衣裙的褶邊。,The ruffles of the dress.
13723,9991,量詞,計算衣裙褶邊的單位。,The unit used to calculate the hem of a dress.
13724,9992,名詞,有夾層的厚衣外套。,Thick layered jacket.
13725,9993,名詞,裙子。,skirt.
13726,9994,動詞,修治破損的事物。,Fix what is broken.
13727,9994,動詞,補充有所欠缺的。,Supplement what is lacking.
13728,9994,動詞,攝取營養以滋補身體。,Take in nutrients to nourish your body.
13729,9994,動詞,補償、彌補。,"Compensate, make amends."
13730,9995,動詞,填裝。,Fill.
13731,9995,動詞,打扮成。,dress up as.
13732,9996,名詞,衣服、服飾。,"Clothes, apparel."
13733,9997,名詞,衣服的內襯。,The lining of clothing.
13734,9998,名詞,指特定的空間範圍。,refers to a specific spatial range.
13735,9999,動詞,解除、消除。,"Lift, eliminate."
13736,9999,動詞,分剖。,dissection.
13737,9999,動詞,明白。,clear.
13738,10000,動詞,試驗。,test.
13739,10000,動詞,嘗試。,try.
13740,10001,名詞,文學體裁的一種。以有節奏、韻律的語言反映生活，發抒情感。,A type of literary genre. Use rhythmic and rhythmic language to reflect life and express emotions.
13741,10001,名詞,書名，指《詩經》。,The title of the book refers to The Book of Songs.
13742,10002,動詞,消災。消解災難、免除災禍。,Dispel disaster. Eliminate disasters and avoid disasters.
13743,10003,動詞,解悶。,Relieve boredom.
13744,10004,名詞,蛾。昆蟲名。鱗翅科昆蟲的總稱。與蝴蝶相似，但軀體較肥大、有細長的觸角、翅面多為灰白色、靜止時雙翼平放、大都屬於晝伏夜出等特質，則與蝴蝶相異，種類甚多。,"moth. Insect name. The general name for Lepidoptera insects. Similar to butterflies, but they have larger bodies, slender antennae, mostly gray-white wing surfaces, flat wings when at rest, and most are nocturnal. However, they are different from butterflies, and there are many types."
13745,10005,名詞,蜆。貝類。生長於河中有雙殼的生物，體形比蛤蜊小，外殼呈心形，表面有輪狀紋，肉質鮮美，可煮湯，也可以用醬油、鹽、蒜頭醃漬。,"Clam. shellfish. It is a bivalve creature that grows in the river. It is smaller than a clam and has a heart-shaped shell with wheel-like patterns on its surface. Its meat is delicious and can be cooked in soup or pickled with soy sauce, salt, and garlic."
13746,10006,名詞,夾襖、棉襖。,"Jackets, cotton-padded jackets."
13747,10007,動詞,原來不足或損失時，或在主要事物外再追加一部分。,"When the original is insufficient or lost, an additional part may be added in addition to the main thing."
13748,10008,名詞,冬令進補。臺灣北部人的習俗，會在「立冬」(li̍p-tang)這天食用補品，認為可以藉此增強體力，抵禦寒氣，而南部人則在「冬節」(tang-tseh)這一天進補。,"Winter tonic. It is the custom of people in northern Taiwan to take supplements on the day of ""Li̍p-tang"", believing that they can strengthen their physical strength and resist the cold, while people in the south take supplements on the day of ""Winter Festival"" (tang-tseh)."
13749,10009,名詞,補強血液，使紅血球或血紅素增加。,Strengthen the blood and increase red blood cells or hemoglobin.
13750,10010,動詞,補貼、支助。,"Subsidy, support."
13751,10011,動詞,處理問題並有結果。,Deal with problems and get results.
13752,10011,動詞,消滅、結束。,"To destroy, to end."
13753,10012,名詞,蜂巢、蜂窩。,"Beehive, honeycomb."
13754,10013,名詞,古時官員辦公的機關。,The official office of ancient officials.
13755,10014,動詞,解除毒素。,Remove toxins.
13756,10015,動詞,試一試、試試看。,"Give it a try, give it a try."
13757,10016,熟語,試試看。,Give it a try.
13758,10017,動詞,解除合約。,Cancel the contract.
13759,10018,名詞,狡詐的計謀。,A cunning plan.
13760,10019,動詞,修補魚網。,Repair fishing nets.
13761,10019,名詞,歌曲名。臺灣歌謠，曲中描寫臺灣戰後社會的破敗，好像待補的魚網，需要大家用心縫補的心情。,"Song title. A Taiwanese ballad, the song describes the dilapidation of Taiwan's post-war society, like a fishing net that needs to be mended, and everyone needs to work hard to mend it."
13762,10020,名詞,節肢動物。身體扁長，全身有許多體節，每一節上有對腳。第一對腳有毒爪，可射出毒液。常棲息在朽木或石縫中，捕食昆蟲為生。,"Arthropods. The body is long and flat, with many body segments, and each segment has pairs of legs. The first pair of feet have venomous claws that can shoot venom. They often live in decayed wood or rock crevices and feed on insects."
13763,10021,動詞,醒酒。消解酒醉的狀態。,sober up. Relieve drunkenness.
13764,10022,動詞,消除、去掉。,"Eliminate, remove."
13765,10023,動詞,用含義不明顯的言語或舉動來引起對方的反應，藉以了解對方的意思。,Use words or actions that are not obvious to elicit a reaction from the other person so as to understand what the other person means.
13766,10024,動詞,添補、補充。,"Supplement, supplement."
13767,10025,動詞,縫補。縫紉修補。,Mending. Sewing repairs.
13768,10026,動詞,加強、補充某種知識或技能。,Strengthen or supplement certain knowledge or skills.
13769,10027,動詞,擺脫。佛教用語，擺脫苦惱，得到自在。,get rid of. A Buddhist term for getting rid of suffering and gaining freedom.
13770,10027,動詞,死亡。,die.
13771,10028,動詞,鑲牙。修補牙齒。,Dentures. Repair teeth.
13772,10029,動詞,解救。,rescue.
13773,10030,動詞,消解愁悶。,Dispel depression.
13774,10031,動詞,叫集合的人分散開。,Tell the assembled people to disperse.
13775,10031,動詞,停業。,Out of business.
13776,10031,動詞,取消。指對已成立的團體或集合。,Cancel. Refers to an established group or collection.
13777,10032,熟語,裝傻搞笑，將人當瘋子一樣耍弄。,"Acting silly and funny, treating people like crazy people."
13778,10033,動詞,解釋回答問題。,Explain and answer questions.
13779,10033,名詞,答案。,Answer.
13780,10034,動詞,對於不足的部分加以補足。,Make up for the deficiencies.
13781,10035,動詞,消除憂愁。,Eliminate sorrow.
13782,10036,名詞,袷衣。有夾層的衣服。,Lottery. Clothes with layers.
13783,10037,動詞,嘮嘮叨叨、囉囉嗦嗦。一直重複嘮叼不停，說來說去都是說一樣的話。,"Nagging, nagging, nagging. He kept repeating the same thing over and over again."
13784,10038,動詞,求神拜佛，將不好的運氣補強去衰。,Pray to God and worship Buddha to strengthen and eliminate bad luck.
13785,10039,名詞,改年真經、改年經。兩旁寫有消災咒和其他經文，用於命運不佳時，向大眾爺和王爺祈求幸福時燒化，通常會夾在改運紙人中和本命錢一起燒化。,"The true scripture of changing the year, the scripture of changing the year. There are incantations and other sutras written on both sides to dispel misfortune and be used to pray for happiness to the generals and princes when they are burned. They are usually placed in a fortune-changing paper and burned together with the natal money."
13786,10040,動詞,"修補破鍋。以前有一種行業，師傅手拿梨花鐵，發出一陣嘎嘎的聲音，口中叫著「補鼎補生鍋，修理雨傘，修理面桶蓋。」(Póo-tiánn póo senn-ue, siu-lí hōo-suànn, siu-lí bīn-tháng kuà.)","Repair broken pots. In the past, there was a kind of industry. The master held the pear iron in his hand and made a rattling sound, shouting ""Buding the pot, repairing the umbrella, repairing the lid of the noodle bucket."" (Póo-tiánn póo senn-ue, siu-lí hōo- suànn, siu-lí bīn-tháng kuà.)"
13787,10041,名詞,詩與歌曲的通稱。,A general term for poetry and songs.
13788,10042,名詞,蜜蜂採花液所釀成的黃白色黏稠蜜汁，可供食用和藥用。,The yellow-white viscous honey produced by bees from flower sap can be used for food and medicine.
13789,10043,名詞,水蛭、螞蝗。環節動物。體長扁，色黑綠，尾端及胸腹面各有一個吸盤。生於池沼或是水田中，喜歡吸食人畜的血液。,"Leeches, locusts. Annelids. The body is long and flat, black and green in color, with a sucker on the tail end and the chest and abdomen. Born in ponds or paddy fields, it likes to suck the blood of humans and animals."
13790,10044,名詞,馬釘、螞蝗釘。一種用來將二根木頭固定的釘子，通常呈ㄇ字型。,"Horse nails, locust nails. A nail used to fasten two pieces of wood, usually in the shape of a U."
13791,10045,動詞,解釋、說明。分析闡明、說明某件事的原因。,"explain, explain. Analysis clarifies and explains the reasons for something."
13792,10046,動詞,室內的設計或擺設。,Interior design or furnishings.
13793,10047,名詞,滋養身體的藥物或食物。,Medications or foods that nourish the body.
13794,10048,動詞,分析闡明、說明某件事的原因。,Analysis clarifies and explains the reasons for something.
13795,10049,動詞,試味道。,Test the taste.
13796,10050,動詞,實驗。,experiment.
13797,10050,名詞,指考試。,Refers to exam.
13798,10051,名詞,言語、話語。,"Words, words."
13799,10052,副詞,應該、理所當然。,"It should, of course."
13800,10053,動詞,戲謔、嘲笑、逗弄別人。,"To tease, ridicule, and amuse others."
13801,10053,形容詞,有趣、好笑、詼諧的樣子。,"Interesting, funny, and witty look."
13802,10054,副詞,很、非常。,"Very, very."
13803,10055,名詞,小偷、竊盜財物的人。,"A thief, a person who steals property."
13804,10056,動詞,彈跳、跳動。,"Bounce, jump."
13805,10056,量詞,計算驚嚇次數的單位。,The unit used to calculate the number of startles.
13806,10057,動詞,跟隨、隨行。,"Follow, go along."
13807,10057,動詞,在旁邊盯著、注意著。,Staring and paying attention.
13808,10058,名詞,印子、痕跡。,"Imprints, traces."
13809,10058,名詞,指特定的地方。,Refers to a specific place.
13810,10059,名詞,腿、足。,"Legs, feet."
13811,10059,方位詞,在……下。,under.
13812,10059,名詞,加入互助會或參加賭局的人。,A person who joins a mutual aid group or participates in gambling.
13813,10059,名詞,指器物的下方、底部。,Refers to the lower part and bottom of the utensil.
13814,10060,動詞,扭。,Twist.
13815,10060,動詞,扭傷。,sprain.
13816,10061,動詞,兩個膝蓋彎著著地。,Both knees are bent on the ground.
13817,10062,名詞,腳掌的外沿。,The outer edge of the sole of the foot.
13818,10063,動詞,說大話。,boast.
13819,10064,名詞,手和腳。,Hands and feet.
13820,10064,名詞,下屬、部屬。,"Subordinate, subordinate."
13821,10064,名詞,人手。提供幫助的人力。,manpower. Manpower to help.
13822,10064,名詞,手段、伎倆。,"Means, tricks."
13823,10064,名詞,手腳、動作。,"Hands, feet, movements."
13824,10065,名詞,洗腳用的木桶或木盆。,A wooden bucket or basin for washing feet.
13825,10066,名詞,腳爪。,Claws.
13826,10067,名詞,小偷、竊賊。,"Thief, thief."
13827,10068,名詞,嘍囉、部下。小角色、跑腿的。,"I'm a subordinate. Small role, errand boy."
13828,10069,名詞,指舊貨市場或專門交易贓物的市場。,Refers to a flea market or a market that specializes in trading stolen goods.
13829,10070,名詞,贓物、贓貨。,"Stolen goods, stolen goods."
13830,10071,名詞,口頭禪。,Mantra.
13831,10072,名詞,本錢、本金。,"Capital, principal."
13832,10073,名詞,腳踝、腳脖子。小腿和腳掌間連接關節，在兩腳兩側突起的部位。,"Ankles, ankles. The joint between the calf and the sole of the foot is the protruding part on both sides of the foot."
13833,10074,熟語,細皮嫩肉、玉手纖纖。,"Thin skin, tender meat, slender hands."
13834,10075,形容詞,自責或罵人的話。,Self-blaming or abusive words.
13835,10076,名詞,膝關節。膝蓋後方的凹陷處。,knee joint. The depression behind the knee.
13836,10077,名詞,絃外之音。話中隱含的意思。,implication. The meaning behind the words.
13837,10077,名詞,話的末段。,The end of the sentence.
13838,10078,名詞,腳、腳尖。腳的末端。,"Feet, toes. The end of the foot."
13839,10079,名詞,倒頭飯。人往生的時候，供祭在往生者腳尾的飯。,"Pour the rice. When a person passes away, rice is offered as an offering at the feet of the deceased."
13840,10080,名詞,腳步。行走時雙腳所移動的步伐。,pace. The pace your feet move while walking.
13841,10080,量詞,計算腳步的單位。,The unit for calculating steps.
13842,10080,名詞,行為、立場。,"behavior, stance."
13843,10081,名詞,小腿肚。小腿後面由腓腸肌形成的隆起部位。,Calf. The bulge formed by the gastrocnemius muscle on the back of the calf.
13844,10082,名詞,腓骨。為腿部兩根骨中，位於外側較小的那一根。,fibula. It is the smaller of the two bones in the leg.
13845,10083,熟語,毛手毛腳、動手動腳。,"Hands and feet, hands and feet."
13846,10084,名詞,裹腳布。舊時女子纏足用的布條。,Foot wrap. A piece of cloth used by women in the old days to bind their feet.
13847,10085,名詞,腳底。,soles of feet.
13848,10086,名詞,語病、話柄。,Speech problems and words.
13849,10087,動詞,說話喜歡吹牛，誇大不實。,He likes to brag and exaggerate untrue.
13850,10088,名詞,廢話、多餘的話。,"Nonsense, unnecessary words."
13851,10089,動詞,跪而叩首的敬禮。,Kneel and kowtow in salute.
13852,10090,名詞,小腿肚。小腿後面由腓腸肌等所形成的隆起部位。,Calf. The bulge formed by the gastrocnemius muscle on the back of the calf.
13853,10091,名詞,腳跟、腳後跟。腳掌的後部。,"Heel, heel. The back of the sole of the foot."
13854,10092,名詞,腳指頭。,Toes.
13855,10093,名詞,話題。,topic.
13856,10094,名詞,腳鐐。一種用來防止人脫逃而拘束其雙腳的戒具。,Shackles. A restraint used to restrain a person's feet to prevent him from escaping.
13857,10095,名詞,可供參考或研究的材料或者記錄。,Materials or records available for reference or research.
13858,10096,名詞,從事某種活動或工作，所應具備的條件、身分等。,"The conditions, status, etc. required to engage in a certain activity or job."
13859,10096,名詞,由從事某種工作或活動的時間長短，所形成的身分。,An identity formed by the length of time one engages in a certain job or activity.
13860,10097,名詞,脛骨。小腿內側的長管狀骨骼。,Tibia. The long tubular bone on the inside of the lower leg.
13861,10098,名詞,語病、話柄。,Speech problems and words.
13862,10099,名詞,指腿和腳。,Refers to legs and feet.
13863,10100,名詞,附近、左右。,"Nearby, left and right."
13864,10100,名詞,腳邊、腳下。,"At the feet, under the feet."
13865,10101,名詞,詳細的情形。,Detailed situation.
13866,10102,名詞,原指女人的洗腳桶，後泛指洗衣盆，也可用來替小孩洗澡。,"It originally referred to a woman's foot-washing bucket, but later generally referred to a laundry tub, which could also be used to bathe children."
13867,10103,名詞,腳褪下來的皮屑。,Skin flakes from the feet.
13868,10103,形容詞,笨拙、愚劣。,"Clumsy, stupid."
13869,10103,形容詞,地位低賤。,Low status.
13870,10103,形容詞,品質低劣。,Poor quality.
13871,10104,名詞,腳汗。腳部所排出來的汗液或分泌物。,Sweaty feet. Sweat or secretions discharged from the feet.
13872,10105,名詞,妓院。供妓女賣淫的場所。,brothel. A place for prostitutes to engage in prostitution.
13873,10106,名詞,足球。,football.
13874,10107,名詞,財產。,property.
13875,10107,名詞,企業資金。,Corporate funding.
13876,10108,副詞,仔細地。,carefully.
13877,10108,動詞,了解、明白。,"Understand, understand."
13878,10108,名詞,詳情、細節。,"Details, details."
13879,10109,名詞,本指海盜船。引申為邪惡的集團。,This refers to a pirate ship. By extension an evil group.
13880,10110,形容詞,該當、應該的。理所當然。,"Should, should. Of course."
13881,10111,名詞,腳後的筋。,The tendons behind the feet.
13882,10112,名詞,真心、誠心。,Sincerely and sincerely.
13883,10113,副詞,應當。理所當然。,should. Of course.
13884,10114,名詞,腳印、足跡。,"Footprints, footprints."
13885,10115,熟語,氣到直跺腳。,He was so angry that he stamped his feet.
13886,10116,副詞,真實的、真的。,"Real, true."
13887,10117,名詞,真誠不欺。,Be sincere and don’t deceive.
13888,10118,動詞,跟隨。,follow.
13889,10118,名詞,跟班、隨從人員。,"Followers, followers."
13890,10119,名詞,小腿和大腿的總稱。,The general term for calves and thighs.
13891,10120,名詞,腳的脛骨。,tibia of the foot.
13892,10121,名詞,角色、傢伙，有輕蔑的意味存在。,"The character, the guy, has a connotation of contempt."
13893,10121,名詞,人手。,manpower.
13894,10122,名詞,腳印。,footprint.
13895,10123,名詞,手印和腳印，因人各不同，易於辨識，所以供狀、契據等文件常以此為憑證。,"Handprints and footprints are easy to identify because they vary from person to person, so they are often used as evidence for documents such as confessions and deeds."
13896,10124,名詞,腳背、腳面。,"Instep, instep."
13897,10125,名詞,車上或機器上供腳踩踏的踏板。,A foot pedal on a vehicle or machine.
13898,10126,名詞,腳踏車。一種利用雙腳踩踏板前進的兩輪車。,bicycle. A two-wheeled vehicle that moves forward by pedaling with both feet.
13899,10127,名詞,腳剎車。手剎車叫「手擋」(tshiú-tòng)。,"Foot brake. The hand brake is called ""hand brake"" (tshiú-tòng)."
13900,10128,名詞,蹄。動物腳踝以下。,hoof. Animals below the ankles.
13901,10128,名詞,腳掌。,soles of feet.
13902,10129,動詞,跟從在後。,Follow behind.
13903,10129,名詞,跟班、隨從。,"Follower, follower."
13904,10130,名詞,講話的開頭。,The beginning of the speech.
13905,10130,名詞,話。,talk.
13906,10131,名詞,匪首。盜匪的頭子。,bandit chieftain. The leader of the bandits.
13907,10132,名詞,膝蓋。大腿與小腿相連處的外部關節。,knee. The external joint where the thigh joins the calf.
13908,10133,形容詞,老實、忠厚。形容對人真誠而懇切的樣子。,Honest and loyal. Describes being sincere and sincere to others.
13909,10134,名詞,話中的漏洞、缺點。,The loopholes and shortcomings in the words.
13910,10135,名詞,胯下。兩腿之間。,Crotch. Between the legs.
13911,10136,名詞,道路。,the way.
13912,10136,名詞,路程、距離。,"Journey, distance."
13913,10136,名詞,方法、技術。,Methods and techniques.
